,Unnamed: 0,Unnamed: 0.1,Word,Start,End,Conf,time_spent,length,std_time_spent,post_space,amplitude,amplitude2,time
0,0,0,i,15.33,15.51,100.0,0.18,1,0.7142857142857143,0.0,0.6209117006272713,0.8299813660755229,15.42
1,1,1,met,15.51,15.87,100.0,0.36,3,0.4285714285714285,0.0,0.4453367565670066,0.46501258985880456,15.69
2,2,2,a,15.87,15.93,100.0,0.06,1,0.1428571428571428,0.0300000000000011,0.1376503346381966,0.14098633006588188,15.899999999999999
3,3,3,traveller,15.96,16.65,100.0,0.69,9,0.2222222222222222,0.2100000000000008,0.1900592328699453,0.3374515589916756,16.305
4,4,4,from,16.86,17.1,100.0,0.24,4,0.1428571428571428,0.0,0.1241034155659597,0.258072619799099,16.98
5,5,5,an,17.1,17.28,100.0,0.18,2,0.2857142857142857,0.1199999999999974,0.1462526195657011,0.14416966439100204,17.19
6,6,6,antique,17.4,17.97,100.0,0.57,7,0.2448979591836734,0.0,0.1700651565716393,0.25129906573679844,17.685
7,7,7,land,17.97,18.54,100.0,0.57,4,0.5357142857142857,0.5399999999999991,0.1616576246871632,0.24713240821012813,18.255
8,8,8,who,19.08,19.23,100.0,0.15,3,0.0952380952380952,0.0,0.2320304025478703,0.27705026925762505,19.155
9,9,9,said,19.23,19.68,100.0,0.45,4,0.3928571428571429,1.0800000000000018,0.1939264183046626,0.29517032971723145,19.455
10,10,10,too,20.76,21.06,86.0061,0.3,3,0.3333333333333333,0.0,0.1929459432851494,0.21501331911383262,20.91
11,11,11,fast,21.06,21.69,100.0,0.63,4,0.6071428571428572,0.0299999999999975,0.2984911729475687,0.394922384762287,21.375
12,12,12,and,21.72,21.9,100.0,0.18,3,0.1428571428571428,0.0,0.1334674849438893,0.19084385308019822,21.81
13,13,13,trunk,21.9,22.26,99.4398,0.36,5,0.1999999999999999,0.0,0.082633993891386,0.2175670418732403,22.08
